Date,VOO,AAPL,SMH,TSM,NVDA,MSFT,AMD,BOTZ,NLR,LMT,RTX,GD,NOC,AMZN,GOOG,TSLA,JPM,META
2021-04-14,-0.003215052488282022,-0.01785312646473458,-0.009580025197355124,-0.0035457960724341042,-0.025670353680252278,-0.011218969783747812,-0.020451419624868628,-0.0040289666099767585,-0.0011244201768639828,0.004029817873201447,0.003346213691835409,0.006583106208142286,0.009480123310193322,-0.01970591825597423,-0.005482438879549356,-0.03947166704647498,-0.018690224686301438,-0.022404420851494855
2021-04-15,0.010734366540664064,0.018707928962909293,0.012830290437782832,-0.020605612122092665,0.056309901154177444,0.015297807366746463,0.056779107717333854,0.015313634059410886,0.0031895373769834645,0.005042801444523404,0.00012816606293997168,0.0024525311989529452,0.00810350433031215,0.013828409714570444,0.018546856669362732,0.009040931223980753,0.006348695995979536,0.01651163374127762
2021-04-16,0.0035047714478535497,-0.0025279035569208963,-0.003906775826348241,0.004139932665686574,-0.013927288950084105,0.004778465231409346,-0.01036020465268972,0.007968282764382772,0.004114499048404108,0.0030206571927846593,0.0032063674283235866,0.0029360956980344355,0.005339675976767433,0.006022342354579324,0.0004790061857509187,0.0012587029151958085,0.007425849876656843,-0.00532807946036562
2021-04-19,-0.004926501023257535,0.005068620096612797,-0.02476143266815911,-0.028946469025857402,-0.03461107408968911,-0.007670513124589995,-0.012659779625198486,-0.01524577825055351,-0.007264007867723299,-0.0002042355292976028,0.00473030921384332,0.0017344638322454031,-0.005166917023818329,-0.00806900981526193,0.0020193523329608,-0.03399658468630862,-0.004239702973450443,-0.012868283945861259
2021-04-20,-0.007334730531159295,-0.012830254355775561,-0.014015255428183493,-0.003899264989339568,-0.012401021268629298,-0.00185519737668971,-0.02268529100529104,-0.020642303084161262,0.0018762505552543107,-0.011232127969755146,-0.01908621509753572,-0.0038963608267382766,0.0014508102092956054,-0.011067567276491497,-0.003808998687570564,0.006101017267521991,-0.022142388142211922,0.001356612261063761
2021-04-21,0.009394605699779346,0.002929743933106854,0.026368921399868128,0.021313796503777738,0.0124742456838558,0.00898314553435875,0.02951941549615089,0.0181502223348724,0.0016854068933238597,-0.0002324788667872335,0.023089834940575926,0.009670474550741881,0.0011008381765005293,0.008195669633476843,-0.00014836544474894353,0.034951793439894185,0.008508016913266303,-0.003898774544551009
2021-04-22,-0.009176500406270716,-0.011685094478228075,-0.022118665997569065,-0.017717425355675553,-0.033218333841855685,-0.013086057988425215,-0.03124620797312394,-0.0008627402124147254,-0.006356415279593852,-0.018463817858709097,-0.001648341007956855,-0.007264041314383407,-0.0060488139312981914,-0.015758395892332966,-0.01106264741475771,-0.03283069676699324,-0.021057422129149406,-0.01641947871843219
2021-04-23,0.010659830787606683,0.0180383081620501,0.022988434510385902,0.028789512596692157,0.027945786075064483,0.015476386652127472,0.04679995815702531,0.010647498097348995,0.0037629299242714076,-0.007366635664117882,0.02286010712834008,0.01073171845084886,-0.004047449588473029,0.00962218974677076,0.020891384553395342,0.013491908213451476,0.01913539779549467,0.015546982883942295
2021-04-26,0.00216694522501526,0.002977880617218487,0.017094699950094494,0.024275142973221087,0.013936712877071544,0.0015313649406634156,0.032020317272548615,0.007972709813631962,-0.003936328884843299,-0.014074216575147402,0.005711334417493497,-0.006917800435757737,-0.012396175405166243,0.020389780364207244,0.004940933187268959,0.012064715006025573,0.002463648191361134,0.006342718426670002
2021-04-27,-0.0003123216615990021,-0.002449352659454118,-0.005839169773043662,-0.0020573727468709,-0.006218398788564228,0.0016059336494169685,-0.0023416996728855555,-0.01073449952061245,0.0015055683740676784,0.003333517375868844,0.02234574431159264,0.003779934028804499,0.006127993258502329,0.0024729175512423485,-0.008432361267444732,-0.04532647907368281,0.004582961750387193,0.0017490644185105264
2021-04-28,-0.00046931211228373737,-0.006027148338049071,-0.01599333497142219,-0.01327602480416823,-0.006826291141093455,-0.028285679027048816,-0.013965525809084278,0.0011421792811616704,0.003570097494287383,-0.0007501956208079141,0.0032603866219667044,-0.0033889015757022634,-0.004413418708619887,0.012017786731569835,0.03155022618798209,-0.014672094304228334,0.00647934615404866,0.011628249808078639
2021-04-29,0.0066744531869291635,-0.000748828760278486,0.009235733023477577,-0.004680088758345358,0.0031418348623508674,-0.008053193291631344,-0.0013091286045190387,-0.006560231234054137,0.005055193732475649,0.019869259694281105,-0.002527569611896374,0.029418078163953698,0.0409315190217987,0.0037039347600635875,0.021000750421574788,-0.02505755171974844,0.019444153788061413,0.07297305607309745
